Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/Authentication.java",1,1,1,1,8,0,4,4,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,79,,,,8,,,,27,,,9,6,44,,,,,,,9,15,9,,,6,,,,,,,,1,1,1,1,,,0,,,,1.63,5,5,5,5
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,1,4,,4,0,0,0,,38,,,,7,,,,12,,,10,1,19,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,1.58,0,0,0,0
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/ArtifactRepositoryLayout2.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,,,,4,,,,9,,,7,0,18,,,,,,,4,5,5,,,0,,,,,,,,0,0,0,0,,,0,,,,2.00,0,0,0,0
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/repository/metadata/RepositoryMetadataStoreException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,41,,,,3,,,,14,,,6,2,24,,,,,,,3,6,4,,,2,,,,,,,,1,1,1,1,,,0,,,,1.71,2,2,2,2
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java",1,1,1,1,14,1,13,0,,,,,1,3,1,18,,18,15,9,18,,0,1,7,10,,344,,,,51,,,,264,,,79,127,29,,,,,,,131,162,44,,,118,,,,,,,,8,8,9,1,,,4,,,,0.11,31,31,34,18
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactNotFoundException.java",1,1,1,1,6,0,6,0,,,,,1,0,0,6,,6,6,1,6,,0,1,2,3,,82,,,,14,,,,47,,,18,15,21,,,,,,,13,20,12,,,8,,,,,,,,1,1,1,1,,,0,,,,0.45,6,6,6,6
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,0,6,,0,0,0,6,,68,,,,10,,,,36,,,16,6,22,,,,,,,10,17,11,,,6,,,,,,,,1,1,1,1,,,0,,,,0.61,6,6,6,6
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/CyclicDependencyException.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,46,,,,5,,,,17,,,8,3,24,,,,,,,6,9,6,,,3,,,,,,,,1,1,1,1,,,0,,,,1.41,2,2,2,2
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/MultipleArtifactsNotFoundException.java",1,1,1,1,15,2,9,3,,,,,1,1,0,5,,5,4,2,5,,0,1,0,4,,122,,,,20,,,,61,,,24,23,41,,,,,,,25,34,18,,,16,,,,,,,,3,3,3,1,,,1,,,,0.67,7,7,7,5
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/filter/ArtifactFilter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,,,,3,,,,6,,,4,0,22,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,3.67,0,0,0,0
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ArtifactVersion.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,43,,,,7,,,,11,,,9,0,25,,,,,,,7,8,8,,,0,,,,,,,,0,0,0,0,,,0,,,,2.27,0,0,0,0
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ComparableVersion.java",2,2,2,1,13,1,11,1,,,,,5,2,6,24,,27,25,8,27,,4,2,0,21,,466,,,,72,,,,317,,,76,142,87,,,,,,,120,174,73,,,101,,,,,,,,13,13,16,8,,,4,,,,0.27,65,57,71,41
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/DefaultArtifactVersion.java",3,3,3,1,15,0,14,0,,,,,1,1,0,12,,12,11,6,12,,0,1,0,11,,241,,,,30,,,,184,,,33,78,27,,,,,,,60,94,29,,,65,,,,,,,,13,13,17,3,,,3,,,,0.15,37,37,42,14
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/InvalidVersionSpecificationException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,,,,2,,,,9,,,4,1,24,,,,,,,2,4,3,,,1,,,,,,,,1,1,1,1,,,0,,,,2.67,1,1,1,1
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/OverConstrainedVersionException.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,50,,,,6,,,,20,,,12,2,24,,,,,,,7,10,8,,,2,,,,,,,,1,1,1,1,,,0,,,,1.20,2,2,2,2
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/Restriction.java",3,3,3,2,16,1,14,0,,,,,1,0,1,9,,9,9,4,9,,0,0,0,9,,200,,,,31,,,,145,,,24,63,24,,,,,,,46,76,21,,,55,,,,,,,,11,11,11,11,,,2,,,,0.17,33,33,35,25
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java",4,4,6,1,31,2,25,3,,,,,1,3,0,17,,17,14,2,17,,0,3,0,14,,584,,,,58,,,,436,,,77,211,90,,,,,,,146,224,75,,,149,,,,,,,,19,19,28,4,,,5,,,,0.21,77,77,103,24
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/repository/Proxy.java",1,1,1,1,7,0,4,3,,,,,1,0,3,16,,16,16,8,16,,0,0,0,16,,197,,,,28,,,,79,,,29,19,90,,,,,,,28,45,29,,,16,,,,,,,,1,1,1,1,,,0,,,,1.14,16,16,16,16
File,"maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/repository/legacy/metadata/ArtifactMetadata.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,84,,,,13,,,,19,,,17,0,52,,,,,,,14,15,15,,,0,,,,,,,,0,0,0,0,,,0,,,,2.74,0,0,0,0
File,"maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/ComparableVersionTest.java",1,1,1,1,15,1,13,0,,,,,1,0,2,10,,10,10,0,10,,0,4,0,6,,207,,,,26,,,,153,,,34,101,28,,,,,,,101,118,31,,,87,,,,,,,,4,4,4,1,,,2,,,,0.18,14,14,14,10
File,"maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/DefaultArtifactVersionTest.java",1,1,1,1,14,1,12,0,,,,,1,0,0,11,,11,11,0,11,,0,4,0,7,,205,,,,27,,,,147,,,21,107,32,,,,,,,103,115,18,,,97,,,,,,,,1,1,1,1,,,0,,,,0.22,11,11,11,11
File,"maven-maven-3.0/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java",1,1,1,1,66,5,60,0,,,,,1,0,8,10,,10,10,0,10,,0,1,0,9,,730,,,,75,,,,622,,,44,574,33,,,,,,,576,588,37,,,551,,,,,,,,2,2,2,1,,,1,,,,0.05,11,11,11,10
File,"maven-maven-3.0/maven-compat/pom.xml",0,0,0,0,113,7,97,9,,,,,0,,,0,,0,,,,,,,,,,113,0,0,0,7,0,0,0,97,0,0,,,9,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0.09,0,0,0,0
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/ArtifactScopeEnum.java",2,2,2,2,11,0,8,2,,,,,1,1,2,7,,5,6,7,7,,2,0,0,5,,133,,,,16,,,,75,,,17,30,42,,,,,,,19,36,13,,,23,,,,,,,,6,6,6,6,,,4,,,,0.56,18,18,18,17
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/UnknownRepositoryLayoutException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,54,,,,8,,,,21,,,8,5,25,,,,,,,8,12,7,,,5,,,,,,,,1,1,1,1,,,0,,,,1.19,3,3,3,3
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/deployer/ArtifactDeployer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,1,2,,2,0,0,0,,61,,,,6,,,,15,,,13,1,40,,,,,,,7,8,8,,,0,,,,,,,,0,0,0,0,,,0,,,,2.67,0,0,0,0
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/deployer/ArtifactDeploymentException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,44,,,,4,,,,18,,,7,3,22,,,,,,,4,8,5,,,3,,,,,,,,1,1,1,1,,,0,,,,1.22,3,3,3,3
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/deployer/DefaultArtifactDeployer.java",5,5,7,1,45,4,37,4,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,158,,,,18,,,,113,,,54,41,27,,,,,,,58,72,45,,,27,,,,,,,,10,10,13,1,,,2,,,,0.24,11,11,14,2
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstallationException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,44,,,,4,,,,18,,,7,3,22,,,,,,,4,8,5,,,3,,,,,,,,1,1,1,1,,,0,,,,1.22,3,3,3,3
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/ArtifactInstaller.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,1,2,,2,0,0,0,,61,,,,6,,,,13,,,11,1,42,,,,,,,7,8,8,,,0,,,,,,,,0,0,0,0,,,0,,,,3.23,0,0,0,0
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/installer/DefaultArtifactInstaller.java",4,4,4,1,35,4,28,2,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,135,,,,17,,,,92,,,45,32,26,,,,,,,48,58,37,,,21,,,,,,,,7,7,8,1,,,2,,,,0.28,8,8,9,2
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java",3,3,4,3,21,3,18,0,,,,,1,0,0,5,,5,5,5,5,,0,0,0,5,,182,,,,31,,,,130,,,58,48,21,,,,,,,61,81,47,,,34,,,,,,,,6,6,8,6,,,5,,,,0.16,17,17,20,15
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonConfigurationException.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,38,,,,3,,,,14,,,6,2,21,,,,,,,3,6,4,,,2,,,,,,,,1,1,1,1,,,0,,,,1.50,2,2,2,2
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonManager.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,57,,,,9,,,,20,,,18,0,28,,,,,,,13,14,14,,,0,,,,,,,,0,0,0,0,,,0,,,,1.40,0,0,0,0
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/repository/ArtifactRepositoryFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,3,7,,7,0,0,0,,55,,,,12,,,,24,,,22,3,19,,,,,,,13,14,14,,,0,,,,,,,,0,0,0,0,,,0,,,,0.79,0,0,0,0
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/repository/DefaultArtifactRepository.java",1,1,1,1,7,0,5,1,,,,,1,0,0,24,,24,24,6,24,,0,0,0,24,,249,,,,46,,,,152,,,46,48,51,,,,,,,56,86,42,,,44,,,,,,,,4,4,4,1,,,1,,,,0.34,30,30,30,24
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/repository/DefaultArtifactRepositoryFactory.java",1,1,1,1,7,0,7,0,,,,,1,0,0,9,,9,9,3,9,,0,2,0,7,,129,,,,22,,,,85,,,43,19,22,,,,,,,29,42,27,,,15,,,,,,,,4,4,6,1,,,3,,,,0.26,12,12,14,9
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/repository/LegacyLocalRepositoryManager.java",1,1,1,1,4,0,4,0,,,,,3,1,0,51,,51,50,4,51,,0,3,0,48,,357,,,,67,,,,261,,,89,60,29,,,,,,,77,135,85,,,50,,,,,,,,3,3,3,1,,,1,,,,0.11,57,57,59,51
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/repository/layout/FlatRepositoryLayout.java",1,1,1,1,8,1,6,0,,,,,1,0,2,5,,5,5,0,5,,0,1,0,4,,86,,,,16,,,,46,,,19,16,24,,,,,,,20,28,17,,,11,,,,,,,,3,3,4,1,,,1,,,,0.52,7,7,8,5
File,"maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java",5,5,6,1,36,2,32,1,,,,,1,0,0,12,,12,12,2,12,,0,6,1,5,,514,,,,52,,,,429,,,89,190,33,,,,,,,139,203,77,,,126,,,,,,,,16,16,17,3,,,5,,,,0.08,64,64,73,14
